partner_id,earnings_weekly,trip_count_monthly,avg_rating_last_90_days,cancellation_rate,zone,job_type,age,gender,rent_paid_last_12_months,utility_paid_last_12,app_logins_last_30_days,complaints_last_6_months,outstanding_loans
GIG50,9094.800000000001,132,5.0,0.07525644131399295,Urban,Ride-sharing,31,Female,11,9,34,1,68766.20476291474
GIG51,5756.400000000001,123,4.88,0.16650489165439786,Semi-Urban,Delivery,43,Female,12,11,32,0,37148.41658394759
GIG52,4193.28,104,4.77,0.03342007552224027,Rural,Delivery,56,Male,12,10,38,0,43967.459758259596
GIG53,3578.786172968549,108,4.94,0.03168408770889768,Semi-Urban,Freelancer,45,Male,11,11,29,0,41649.130731794976
GIG54,5553.990000000001,101,4.56,0.015833929047342266,Urban,Delivery,33,Male,12,10,30,0,46857.79552614795
GIG55,4082.4,135,4.93,0.1145567896478312,Rural,Delivery,21,Male,11,9,34,0,37986.2888037556
GIG56,6102.0,113,4.99,0.019517361625171866,Semi-Urban,Ride-sharing,49,Female,10,10,32,1,44688.0757849127
GIG57,4920.0,120,4.74,0.07668743155294411,Semi-Urban,Ride-sharing,27,Female,8,9,24,0,45330.909812755344
GIG58,3801.6,110,4.99,0.010587556829677774,Rural,Delivery,36,Male,8,9,34,0,35369.88801437849
GIG59,5252.0,101,4.43,0.17471634553457255,Semi-Urban,Ride-sharing,57,Male,8,10,30,0,42678.83033982393
GIG60,5704.0,124,4.57,0.19213248274388564,Semi-Urban,Ride-sharing,32,Female,9,12,31,0,44869.643224474516
GIG61,7530.665864760745,124,4.49,0.13372994281242007,Semi-Urban,Freelancer,21,Male,12,9,35,1,68949.21238109824
GIG62,6309.900000000001,123,4.73,0.1464726084245976,Semi-Urban,Delivery,23,Male,10,11,33,0,40302.99879687249
GIG63,6547.31180275016,121,4.6,0.13698255729829356,Urban,Freelancer,48,Female,12,11,29,0,67447.39963403567
GIG64,7897.5,125,3.78,0.44861802749118795,Urban,Delivery,57,Male,10,9,23,1,50773.52506717399
GIG65,8490.69,123,5.0,0.03271508090399502,Urban,Delivery,22,Male,10,12,29,0,70749.02531268078
GIG66,5103.0,126,4.75,0.10896644104308154,Semi-Urban,Delivery,37,Male,11,12,27,1,36265.027556243214
GIG67,4736.160000000001,88,4.8,0.14983073982587908,Urban,Delivery,52,Male,8,12,32,0,35664.363393130705
GIG68,6026.400000000001,124,4.74,0.08901726891921011,Semi-Urban,Delivery,25,Female,9,10,21,0,59123.73512088544
GIG69,6211.8,119,4.99,0.023836636271748823,Semi-Urban,Delivery,32,Male,12,9,29,0,45896.30579475845
GIG70,9538.44722162487,124,4.49,0.09974532203550206,Urban,Freelancer,49,Female,9,12,29,0,89166.85532797042
GIG71,7727.703532486943,111,4.85,0.0791606086828256,Urban,Freelancer,31,Male,11,9,29,0,87990.85536305008
GIG72,4633.2,117,4.86,0.22630756931004314,Semi-Urban,Delivery,21,Male,10,10,24,0,35703.62014750095
GIG73,11044.800000000001,144,4.24,0.31112257127332305,Urban,Ride-sharing,49,Male,11,11,37,0,93209.89443630031
GIG74,3308.7856448704815,91,4.87,0.21931971116942878,Semi-Urban,Freelancer,33,Male,10,10,27,0,37683.659743565215
GIG75,4414.5,109,4.8,0.08452015410304269,Semi-Urban,Delivery,35,Female,9,10,32,0,37140.805012331126
GIG76,6103.861236275675,123,4.7,0.05128154096081559,Semi-Urban,Freelancer,31,Male,8,9,31,0,61839.6865747481
GIG77,9138.06868817673,129,4.67,0.03353477539049475,Semi-Urban,Freelancer,57,Male,12,11,28,0,105347.34457807161
GIG78,8612.5,125,4.65,0.15576767159273333,Urban,Ride-sharing,54,Male,10,12,31,0,75493.82307863596
GIG79,5241.6,140,4.97,0.10915464285775825,Rural,Delivery,35,Female,11,10,27,0,55829.25963601388
GIG80,3993.194900942263,121,4.88,0.027289694171588424,Rural,Freelancer,37,Male,9,12,44,0,45319.158973244914
GIG81,3502.12452265829,111,4.74,0.1023336706593855,Rural,Freelancer,32,Female,10,9,27,0,51731.4527469954
GIG82,5756.400000000001,108,4.58,0.19793356208260013,Urban,Ride-sharing,38,Female,10,12,25,0,43315.7235130645
GIG83,6996.6,117,4.55,0.10425778159955083,Urban,Ride-sharing,44,Female,12,10,26,0,47536.55288273465
GIG84,6048.900000000001,99,4.52,0.030298305994666846,Urban,Ride-sharing,25,Male,10,10,33,0,44866.14072120796
GIG85,5940.0,108,4.75,0.17704645386140558,Semi-Urban,Ride-sharing,55,Female,10,12,35,0,46337.0982463543
GIG86,6902.169408822599,130,5.0,0.10153214643972755,Urban,Freelancer,27,Female,8,9,30,0,74701.13311397811
GIG87,5745.6,140,4.48,0.062236539066262656,Rural,Delivery,34,Female,10,12,25,0,59431.38893703527
GIG88,4095.3473613005876,120,4.78,0.142928784726393,Rural,Freelancer,21,Male,12,10,30,0,47895.769914697776
GIG89,5200.0,104,4.6,0.15629067789734774,Semi-Urban,Ride-sharing,47,Male,10,10,29,1,42343.33728601056
GIG90,6996.6,130,4.99,0.0792910344397059,Urban,Delivery,28,Male,8,9,32,0,43203.19432549023
GIG91,7193.160000000001,116,4.69,0.1633270898611129,Urban,Delivery,56,Female,10,9,34,0,52574.74883478905
GIG92,5097.6,120,4.74,0.07790943050817177,Rural,Delivery,30,Male,12,10,28,0,50685.65953927084
GIG93,7698.6,140,4.67,0.0411161730380728,Urban,Delivery,20,Female,8,11,38,0,58567.10464218345
GIG94,3960.0,100,5.0,0.11647988452993038,Semi-Urban,Delivery,27,Male,11,11,41,0,37900.16974067431
GIG95,6598.8,120,4.67,0.013355869740227686,Urban,Delivery,51,Male,8,12,32,0,49873.61013886326
GIG96,10439.61564081523,123,4.94,0.11423793444323257,Urban,Freelancer,29,Female,8,9,28,0,105247.57405340188
GIG97,9029.116809025896,125,5.0,0.045583032496750914,Urban,Freelancer,39,Male,11,12,24,1,93289.39843863934
GIG98,4280.0,107,4.55,0.08244323428926442,Rural,Ride-sharing,34,Male,12,10,37,0,40257.26409609736
GIG99,6060.4468711111485,113,4.82,0.029124896125799212,Semi-Urban,Freelancer,35,Female,9,9,28,0,64529.71482495092
GIG100,10541.005794355286,116,4.69,0.15402754928610166,Urban,Freelancer,31,Female,11,12,35,0,107065.58139982923
GIG101,5994.400000000001,127,4.71,0.05164962950385482,Rural,Ride-sharing,39,Male,11,12,27,0,63951.83580487494
GIG102,5196.8,116,4.68,0.17380469638490578,Rural,Ride-sharing,57,Male,10,11,32,0,47791.60687933317
GIG103,8555.0,145,5.0,0.11761772415409288,Semi-Urban,Ride-sharing,25,Female,12,11,26,0,66595.84885203729
GIG104,6735.6900000000005,101,4.92,0.14110129435286795,Urban,Delivery,40,Male,8,12,17,0,58317.17098030795
GIG105,6708.0,129,4.98,0.05735698941871398,Semi-Urban,Ride-sharing,29,Male,12,12,27,0,57598.847827774975
GIG106,5792.650241893172,96,5.0,0.04070936665185463,Semi-Urban,Freelancer,30,Female,8,11,27,1,56295.816123713535
GIG107,4110.335645127006,111,4.4,0.28965727112645856,Semi-Urban,Freelancer,26,Female,8,10,37,0,54251.59644372114
GIG108,5382.0,130,4.89,0.029481210114620626,Semi-Urban,Delivery,41,Male,12,11,37,0,44643.359673655454
GIG109,5071.5,115,4.96,0.0930803771900715,Semi-Urban,Delivery,45,Male,9,11,25,0,42384.854075132425
GIG110,7221.6,136,4.82,0.2034780369777668,Semi-Urban,Delivery,40,Male,10,10,24,0,57302.28675770242
GIG111,7737.6,124,4.86,0.07120054753446628,Urban,Ride-sharing,51,Female,12,9,34,1,63850.23409736198
GIG112,5776.091949120786,101,4.63,0.07129470693766146,Semi-Urban,Freelancer,22,Male,11,12,27,0,60524.92115859836
GIG113,8821.800000000001,117,4.43,0.16070523463694797,Urban,Ride-sharing,40,Male,8,9,35,0,68986.53400588132
GIG114,7090.2,101,5.0,0.047112763707344116,Urban,Ride-sharing,47,Female,11,9,33,1,60084.468506013654
GIG115,7871.76,116,4.82,0.11236121631456886,Urban,Delivery,46,Male,8,11,33,1,65082.50234132222
GIG116,6470.429853384738,113,4.82,0.017230767183796653,Urban,Freelancer,33,Female,8,12,37,0,61534.01650146596
GIG117,5266.8,133,4.97,0.06392724295676065,Semi-Urban,Delivery,35,Male,10,9,21,0,42273.00844238285
GIG118,5805.6,123,4.63,0.11363694484622455,Rural,Ride-sharing,34,Female,10,10,26,0,51688.43756212882
GIG119,8032.278751990877,123,4.93,0.029129385235499818,Urban,Freelancer,20,Male,8,10,36,0,74061.61427418307
GIG120,5419.684170856806,121,4.91,0.08012861188638312,Urban,Freelancer,28,Female,10,12,38,0,49061.860044990404
GIG121,4568.642090426836,96,5.0,0.05371445231795007,Rural,Freelancer,52,Female,11,12,34,0,54622.98032876541
GIG122,8450.0,125,4.79,0.09879800958859618,Urban,Ride-sharing,34,Female,9,9,33,0,63876.078966367364
GIG123,6727.5,115,4.96,0.11470883484895472,Urban,Ride-sharing,34,Male,9,10,29,0,48347.06730223536
GIG124,5263.2,136,4.57,0.2576919661953528,Semi-Urban,Delivery,47,Male,8,9,42,0,42752.656291377985
GIG125,6160.05,117,5.0,0.08392889424959067,Urban,Delivery,37,Female,8,9,47,1,49989.70527603749
GIG126,6760.26,107,5.0,0.040564548397279805,Urban,Delivery,22,Female,11,10,28,0,42648.49025892253
GIG127,8143.200000000001,108,4.17,0.21031470449088863,Urban,Ride-sharing,23,Female,12,12,36,0,65572.36809443905
GIG128,7376.5022768798735,110,4.83,0.13052111226289972,Urban,Freelancer,43,Female,8,9,31,1,76026.95937657381
GIG129,5487.319118078257,106,4.6,0.1638126908332219,Semi-Urban,Freelancer,53,Female,11,12,37,0,56877.910539061515
GIG130,7134.0,123,4.53,0.18106828530207095,Semi-Urban,Ride-sharing,57,Male,11,11,43,0,60298.07792975029
GIG131,5868.72,114,4.9,0.07576893453475862,Urban,Delivery,36,Female,9,10,32,0,53021.1082522964
GIG132,5284.837355971915,126,5.0,0.03782471078069162,Urban,Freelancer,49,Female,12,12,33,0,48723.426522169204
GIG133,6327.360000000001,104,4.51,0.16778506205701582,Urban,Delivery,23,Male,9,10,25,0,55525.45063999391
GIG134,8253.638269802133,140,4.59,0.2035057480242179,Urban,Freelancer,50,Male,12,11,32,0,66211.00899310682
GIG135,6413.0,121,4.51,0.10941142911518051,Semi-Urban,Ride-sharing,29,Female,12,11,35,0,47830.43434455471
GIG136,7706.400000000001,104,4.81,0.08143931279943635,Urban,Ride-sharing,53,Female,8,10,26,0,60286.32300040083
GIG137,6356.8,137,4.92,0.049864502618260115,Rural,Ride-sharing,38,Male,9,11,30,0,64158.742087488055
GIG138,7600.3200000000015,112,4.98,0.05476909197106924,Urban,Delivery,32,Male,11,12,29,0,53779.7387146518
GIG139,10140.443133550114,133,4.84,0.021317403548122168,Urban,Freelancer,26,Female,12,10,28,0,106359.55007252895
GIG140,5561.01,97,4.98,0.07397026053452918,Urban,Delivery,20,Female,9,10,27,0,47573.23085160348
GIG141,8552.7,129,4.69,0.13703274332839593,Urban,Ride-sharing,45,Female,12,9,35,0,73364.94584679003
GIG142,6204.0,132,4.91,0.028123590449496947,Semi-Urban,Ride-sharing,26,Female,12,11,19,0,60264.177944866045
GIG143,6306.3,110,4.53,0.15005984385620094,Urban,Delivery,30,Female,12,9,30,0,56064.71976866904
GIG144,11634.330964933486,127,4.72,0.2105781699601284,Urban,Freelancer,57,Male,12,10,33,0,119824.4961038526
GIG145,9058.4,134,4.52,0.20112982139901897,Urban,Ride-sharing,29,Male,8,12,32,0,72622.31468499903
GIG146,5850.0,100,4.72,0.13751081592920902,Urban,Ride-sharing,31,Male,12,10,30,0,53762.36081471286
GIG147,5635.0,115,4.87,0.19854673614527432,Semi-Urban,Ride-sharing,39,Male,12,11,33,0,48800.959857499685
GIG148,4384.8,116,4.81,0.1374430653611426,Semi-Urban,Delivery,20,Male,12,12,28,0,31058.538005965114
GIG149,5220.0,145,4.66,0.24462675238475245,Rural,Delivery,20,Male,12,12,29,0,58633.54159465176
GIG150,8346.78,123,4.93,0.06633224801405083,Urban,Delivery,42,Male,9,11,37,0,71271.41520377861
GIG151,5910.109894616142,121,5.0,0.1391642618519003,Urban,Freelancer,43,Female,9,12,25,0,65881.06924322515
GIG152,6146.5417562088005,131,5.0,0.02687975923422108,Semi-Urban,Freelancer,24,Female,10,11,31,0,66643.62270034797
GIG153,7413.120000000001,144,4.08,0.15076499626572065,Urban,Delivery,30,Female,8,11,36,1,63385.324216969246
GIG154,3006.7200000000003,87,4.67,0.08743101631485352,Rural,Delivery,42,Male,12,11,31,0,14254.12986136306
GIG155,9404.82793529612,111,4.33,0.20032194410816997,Urban,Freelancer,23,Male,12,12,35,0,94697.76706302502
GIG156,3360.0,100,4.88,0.05031362644003164,Rural,Ride-sharing,42,Male,11,9,31,0,39754.68420842164
GIG157,5061.6,111,4.69,0.03367226274418806,Rural,Ride-sharing,52,Male,11,9,32,0,46432.74812526549
GIG158,6764.9400000000005,118,5.0,0.021808027871078207,Urban,Delivery,48,Male,8,9,27,0,53702.3301510482
GIG159,5778.0,107,4.99,0.031215299841175118,Semi-Urban,Ride-sharing,35,Female,11,11,32,0,52173.55698620584
GIG160,7300.8,104,4.41,0.16390523159044196,Urban,Ride-sharing,25,Male,12,12,32,1,61913.02068524372
GIG161,4227.12,103,4.76,0.09931605602210264,Rural,Delivery,29,Male,11,9,30,1,42163.462206443604
GIG162,8964.408907600784,138,4.89,0.02874874692027954,Semi-Urban,Freelancer,39,Male,9,10,35,1,84127.12549689817
GIG163,10303.236656717778,113,4.59,0.17757428138811118,Urban,Freelancer,29,Male,12,9,28,0,107139.57928388364
GIG164,8788.0,130,4.51,0.2429062797359538,Urban,Ride-sharing,56,Female,11,12,22,0,64021.465528603716
GIG165,6006.0,143,4.54,0.19529728887862907,Semi-Urban,Ride-sharing,57,Male,11,12,26,0,41292.62816895989
GIG166,8535.561468360378,145,5.0,0.0381032368977616,Urban,Freelancer,43,Female,10,9,30,0,94761.54903380007
GIG167,6874.92,113,5.0,0.14631491525004217,Urban,Delivery,42,Male,12,10,30,0,44692.73272029429
GIG168,5840.64,104,4.75,0.1777775801370194,Urban,Delivery,51,Female,10,10,32,0,53433.623814709965
GIG169,4104.0,114,4.96,0.009379693848157358,Semi-Urban,Delivery,29,Male,12,9,30,0,38294.49269042676
GIG170,6949.8,99,4.92,0.13590748358241905,Urban,Ride-sharing,58,Male,11,9,31,0,55332.79673491228
GIG171,8675.468625217401,135,4.57,0.20752133858420066,Urban,Freelancer,26,Male,11,11,20,0,98025.38691903558
GIG172,4502.880000000001,118,4.98,0.07357207652682429,Rural,Delivery,34,Male,11,11,33,0,47136.779948037045
GIG173,4549.6,121,4.39,0.028813121717444223,Rural,Ride-sharing,28,Male,9,12,23,0,39352.321969008306
GIG174,5634.72,112,4.75,0.10161256157065428,Urban,Delivery,28,Male,12,9,34,0,47025.76197397284
GIG175,3575.2000000000003,109,5.0,0.057180162026917204,Rural,Ride-sharing,21,Male,8,12,31,0,29443.847269677764
GIG176,7007.0,110,4.59,0.1424644961064438,Urban,Ride-sharing,49,Male,11,10,33,0,57804.25023649847
GIG177,8652.800000000001,128,4.82,0.02653559203597085,Urban,Ride-sharing,25,Male,10,12,38,0,81469.69899479051
GIG178,6727.5,115,5.0,0.03922467371493741,Urban,Delivery,35,Male,9,9,34,0,59177.056509437454
GIG179,6718.14,99,4.03,0.3331847110847981,Urban,Delivery,35,Male,10,11,27,0,59337.408224239385
GIG180,5763.669690197515,132,4.64,0.16272857521170464,Semi-Urban,Freelancer,39,Female,8,9,20,0,57634.34858963517
GIG181,10124.4,132,4.77,0.32137680101618943,Urban,Ride-sharing,59,Female,10,12,30,0,72721.55861795001
GIG182,5202.900000000001,123,4.58,0.13735071907101146,Semi-Urban,Delivery,55,Male,10,11,33,0,38607.1605194119
GIG183,6277.6,133,5.0,0.10575884957891012,Rural,Ride-sharing,36,Female,9,10,27,0,53102.69407403503
GIG184,3738.2400000000002,118,4.74,0.08305199965723922,Rural,Delivery,39,Male,10,10,32,0,33194.80458800941
GIG185,6897.150000000001,131,4.44,0.29264723133124054,Urban,Delivery,55,Female,12,12,31,0,48045.30538859296
GIG186,6332.040000000001,132,4.38,0.14658105477985908,Urban,Delivery,42,Male,8,11,25,0,58240.384335649374
GIG187,8486.4,128,4.62,0.15542022168471803,Urban,Ride-sharing,59,Male,11,11,34,0,77411.88294786503
GIG188,6425.516776296714,141,4.58,0.2344616079613048,Urban,Freelancer,45,Female,9,12,23,0,62158.90168362641
GIG189,4737.381681862213,121,4.6,0.07618501681768346,Urban,Freelancer,50,Male,11,9,31,0,50192.36908789926
GIG190,4760.1,129,4.78,0.09832615489832565,Semi-Urban,Delivery,45,Female,9,9,33,0,31990.260142253395
GIG191,3800.0,95,4.58,0.13332232592520118,Semi-Urban,Ride-sharing,34,Female,11,9,33,0,30895.632680773186
GIG192,7137.0,122,5.0,0.04745290205280534,Urban,Ride-sharing,50,Female,8,9,25,0,57554.76242224187
GIG193,4905.0,109,4.67,0.11197135619899806,Semi-Urban,Ride-sharing,38,Female,10,12,45,0,43620.23396264897
GIG194,7869.420000000001,118,4.84,0.12591403975511184,Urban,Delivery,38,Male,11,11,29,0,60802.42719908861
GIG195,7535.0,137,4.73,0.06335780339904921,Semi-Urban,Ride-sharing,28,Female,9,12,34,0,62496.36649003203
GIG196,5601.929799198882,123,4.68,0.08173223360441775,Semi-Urban,Freelancer,20,Male,8,9,31,0,47698.88297599895
GIG197,3879.9512345235376,122,4.75,0.15145586349134868,Rural,Freelancer,42,Female,12,11,28,0,49735.32667095044
GIG198,6292.0,121,4.61,0.14965420972597995,Semi-Urban,Ride-sharing,24,Male,11,9,33,0,43253.83185901903
GIG199,8488.33437511796,130,4.86,0.15586623199537256,Urban,Freelancer,40,Female,10,10,24,0,93157.16225155626
GIG200,4162.320000000001,141,4.57,0.27984434523844837,Rural,Delivery,50,Male,9,10,27,0,35635.78285917698
GIG201,3474.4,101,5.0,0.06530139170926552,Rural,Ride-sharing,34,Female,9,9,29,0,22786.03933516017
GIG202,8030.880000000001,132,4.8,0.08323649329471221,Urban,Delivery,34,Male,10,11,43,0,71099.08846991934
GIG203,6236.1,130,4.62,0.21537609752291212,Urban,Delivery,54,Male,9,9,29,1,53162.18308741157
GIG204,7189.739839304891,110,4.57,0.09331949414036535,Urban,Freelancer,59,Male,10,9,29,0,69353.5943181395
GIG205,7363.2,118,4.12,0.3832480917568743,Urban,Ride-sharing,22,Female,8,12,23,0,62176.127979283054
GIG206,6715.8,123,4.74,0.21874419875490178,Urban,Ride-sharing,49,Male,9,12,25,0,55895.82740000822
GIG207,4317.3,117,4.55,0.09361836878090296,Semi-Urban,Delivery,35,Male,11,12,28,0,28879.716403411825
GIG208,8222.5,115,4.84,0.041556886518692666,Urban,Ride-sharing,27,Female,12,11,30,0,62524.67999042564
GIG209,7207.2,112,4.64,0.05776734130192202,Urban,Delivery,56,Female,9,9,27,0,61969.76704777678
GIG210,5360.265513046855,117,4.76,0.139201157191741,Semi-Urban,Freelancer,34,Female,9,11,35,0,53083.79848359555
GIG211,8151.0,114,4.76,0.16064193625509166,Urban,Ride-sharing,51,Female,10,11,22,0,64227.965832641545
GIG212,6489.990000000001,129,4.88,0.01656571230073812,Urban,Delivery,30,Female,9,11,31,0,43317.69194881644
GIG213,8923.2,143,4.79,0.2301281454987207,Urban,Ride-sharing,57,Male,8,12,33,1,73221.45080116717
GIG214,6972.03,101,4.72,0.029279805445810745,Urban,Delivery,31,Male,10,10,31,0,47433.24370560902
GIG215,4681.8730253895055,128,4.43,0.17569201112045163,Rural,Freelancer,31,Male,12,11,21,0,57159.365013126706
GIG216,8564.4,122,4.84,0.051168349973295724,Urban,Ride-sharing,33,Female,10,10,22,0,62027.651800088846
GIG217,4747.545436579276,136,4.92,0.060622308783512234,Rural,Freelancer,42,Female,10,11,30,1,69209.69705999723
GIG218,4788.0,114,4.62,0.15313187960203273,Semi-Urban,Ride-sharing,20,Male,11,9,35,1,38893.42253051678
GIG219,9349.6,124,4.33,0.06800489280818661,Urban,Ride-sharing,32,Male,10,9,31,0,75777.45729511954
GIG220,9568.26,141,5.0,0.060363251172744097,Urban,Delivery,50,Male,8,11,36,0,83544.05322572897
GIG221,6095.0,115,4.76,0.035108114792722175,Semi-Urban,Ride-sharing,23,Male,11,11,40,0,52850.63643124092
GIG222,4716.0,131,5.0,0.009492069026074834,Semi-Urban,Delivery,42,Male,11,9,37,1,33673.7443292966
GIG223,6752.2,106,4.17,0.23631161925894448,Urban,Ride-sharing,57,Male,11,9,23,0,49815.642318972794
GIG224,6989.58,103,4.73,0.10240587446201119,Urban,Delivery,45,Male,8,10,31,0,58359.11336226622
GIG225,5232.6,114,4.09,0.36446708011962226,Semi-Urban,Delivery,45,Male,8,11,24,0,44040.67694750023
GIG226,8251.076367594495,107,4.82,0.005491551649457328,Urban,Freelancer,50,Female,9,12,23,0,88178.82060243218
GIG227,3772.0,115,4.7,0.09013237079308249,Rural,Ride-sharing,50,Female,10,12,37,0,36121.5793360754
GIG228,5566.0,121,4.98,0.07198835168311916,Semi-Urban,Ride-sharing,41,Male,10,10,28,1,42808.589025936686
GIG229,5995.08,122,4.73,0.13022425303593455,Urban,Delivery,39,Male,9,9,38,0,52519.46661421002
GIG230,6756.75,105,4.79,0.014335034198388611,Urban,Delivery,27,Male,12,11,31,0,59821.95171658463
GIG231,6502.6,122,4.46,0.21918112669143974,Urban,Ride-sharing,46,Female,12,9,24,0,54041.09308729709
GIG232,6753.240000000001,111,5.0,0.04616508377333445,Urban,Delivery,31,Male,10,10,36,0,55985.13843998703
