id,earnings_weekly,trip_count_monthly,avg_rating_last_90_days,job_type,gender,age,cancellation_rate,zone,rent_paid_last_12_months,utility_paid_last_12,app_logins_last_30_days,complaints_last_6_months,outstanding_loans
350d2b04-7f02-4c77-8146-52f845d15317,1508.48,124,3.024,Package Delivery Driver,Male,40,0.161,Urban North,3,8,59,2,101
3d3335cc-6e2d-4f4e-aa01-044b83f0c84b,1895.49,52,3.878,"",Bigender,41,0.13,Urban West,2,4,21,7,688
930b606f-cf3b-42bf-8279-2ba5fad47a7b,1203.72,150,3.083,Delivery Car,Female,25,0.172,Rural East,2,0,2,10,216
a46ddc0b-0272-4d32-af87-a967522054f0,786.92,90,3.551,Ride-Hail,Female,33,0.134,Urban South,8,9,40,7,342
587649db-556f-40eb-b4a9-01de04d37bf8,1122.29,31,2.411,Food Delivery,Non-binary,45,0.116,Rural West,6,6,26,5,328
49b0d706-20dc-484f-9b25-78e35a4721bf,601.17,48,3.187,Ride-Hail,Male,43,0.123,Urban South,6,9,3,6,992
201dc90a-46e5-4167-99e1-c5a808705268,1082.84,42,4.635,"",Male,42,0.014,Urban East,5,0,28,8,21
97db1f07-0fc9-46ee-90ec-acfe85ff2a7f,1152.89,14,4.248,Taxi Driver,Female,36,0.086,Urban South,6,12,39,0,745
5185efdd-086c-4c64-9b47-896353e7d664,730.3,40,3.695,Taxi Driver,Female,28,0.134,Urban North,12,4,22,10,321
57c4c222-445e-495a-b0f6-b5adf2ec7151,1723.19,11,4.93,Ride-Hail,Male,27,0.116,Rural North,1,11,37,9,501
6dce251b-cee7-49fb-9e24-8e317c66549f,861.66,22,3.085,"",Male,30,0.176,Urban East,1,7,30,3,715
64b0fca3-b5cf-431e-a21e-396a4ad0e966,1100.89,34,2.144,Food Delivery,Male,35,0.042,Rural West,10,3,54,2,910
2c2a64d9-f5ef-4a96-b73b-32018f85ddf8,1723.53,88,2.557,Ride-Hail,Male,31,0.002,Urban West,12,6,23,10,915
f42c90b3-cb31-432a-8433-fb0e536397b4,1289.68,122,2.46,Ride-Hail,Female,25,0.097,Urban West,0,11,8,6,901
a8b9542d-a27a-41e4-b09f-94fd56e230b5,615.78,128,2.571,"",Male,38,0.084,Rural West,7,1,22,8,545
39bbeefc-02c2-4892-9c28-ad90bc2049dd,560.61,87,4.643,Delivery Car,Male,25,0.056,Urban North,8,3,46,0,848
672515f0-c7ef-4535-8f25-b12b3fcfeeb6,1664.16,145,3.569,"",Female,40,0.147,Urban East,6,4,40,3,879
8da24423-fc29-45ad-a79a-29590ee73878,1813.43,90,2.377,Package Delivery Driver,Male,22,0.171,Urban North,0,12,57,1,721
498aea55-1049-4e9c-b518-766779278298,1763.2,46,2.184,Package Delivery Driver,Male,34,0.044,Rural North,11,8,32,3,293
fde7bd01-6494-494a-9e20-0177682dc49a,755.07,91,3.579,Taxi Driver,Male,31,0.037,Urban East,1,4,3,7,172
89b075dc-07b3-46f4-921e-41e5c190d4bb,1720.91,93,4.868,"",Female,48,0.108,Urban North,0,0,25,2,677
dc5578b1-9698-47d6-bc35-db94233e6b94,1582.91,119,2.627,Delivery Bike,Female,34,0.139,Urban East,10,0,25,9,328
8e0f7208-9cc2-4076-a583-8612562c9d3e,1611.13,79,2.857,Graphic Designer,Female,20,0.022,Urban East,6,2,52,4,218
eb6a1423-f67f-4ced-894e-26ef2cad2c87,1437.34,35,2.914,Taxi Driver,Female,27,0.143,Urban West,3,8,24,8,504
ea45b3da-319a-4776-959a-69ad3b320156,628.44,108,3.04,Graphic Designer,Male,35,0.175,Rural North,1,6,30,1,616
84ca7afb-3aa1-47d5-ab89-8b2844a9aa9a,1410.47,48,2.594,Graphic Designer,Male,33,0.06,Urban North,1,11,52,5,711
2a12cbe6-c680-4bcd-8133-b48fd9de5a14,1281.92,27,3.637,Delivery Car,Female,46,0.067,Urban North,3,9,57,8,444
4a953a6e-f582-47f2-9bfb-b6c3fbc18011,1494.18,91,2.993,Package Delivery Driver,Male,20,0.025,Urban East,11,8,20,1,987
9d99df23-cffb-4af9-b4f8-1750ebd6937e,978.64,13,4.402,Ride-Hail,Polygender,45,0.002,Urban North,8,8,29,8,241
c247abe6-17af-4c2d-a757-685a6b253f4d,738.26,34,2.347,Graphic Designer,Female,23,0.049,Urban South,3,7,16,2,695
f6790d72-037c-4efa-97dd-61671ad737f8,1707.3,38,4.445,Graphic Designer,Male,20,0.195,Rural East,6,6,36,9,166
effcafad-01ef-438a-ac54-1a45b4995cc3,656.97,41,4.676,Delivery Car,Female,40,0.124,Rural West,8,9,25,0,187
9988375e-52b5-4f5a-870b-fac230667656,1715.69,102,2.918,Package Delivery Driver,Female,33,0.1,Urban South,0,7,35,6,259
7c9d8a91-9e41-49e8-9bc6-4222802cc326,1722.84,128,4.748,"",Male,39,0.069,Rural North,5,6,0,3,549
436e3424-80c2-4e15-9c5b-4aa615915b0d,1094.76,115,4.436,Delivery Bike,Male,22,0.089,Urban East,4,6,31,10,210
2145899c-4bdb-4472-94cc-71d68016fec6,1262.1,54,2.614,"",Female,34,0.129,Urban North,4,4,16,0,264
bc156c8d-6c57-40f7-ae27-0ace82c89200,800.36,109,3.871,Ride-Hail,Genderfluid,26,0.163,Urban South,7,10,38,0,330
501b5672-e85c-4c43-a3a6-a789ee51515c,1492.77,137,2.654,Delivery Car,Male,49,0.159,Urban South,1,6,60,4,164
4d41824a-8ad2-448d-8dde-1b473762ae4f,1882.83,79,3.942,Delivery Car,Male,37,0.073,Urban East,9,3,39,6,376
aa0da11b-010c-477b-baf6-4408ee67c30e,1704.23,75,4.78,Delivery Bike,Male,41,0.145,Rural West,5,10,38,3,809
a800a48e-3360-42f0-9f49-2750d4b723f7,837.09,48,2.492,Taxi Driver,Genderqueer,22,0.041,Urban South,11,11,2,1,639
f085d900-e935-473f-bf86-f3193a36662b,1565.94,33,4.686,"",Female,48,0.104,Rural West,1,6,44,4,229
273bd381-41e7-4fe3-ae1d-cd3b24b7750c,955.74,19,3.773,Delivery Car,Female,41,0.005,Urban East,6,8,13,0,826
38b87aac-f4e7-44f4-889c-de2a0d9d0e82,615.75,19,2.561,Graphic Designer,Female,33,0.19,Rural North,8,4,6,5,980
5942fd11-d1cb-41f1-bcd3-03a54fe740a4,783.22,35,3.301,Food Delivery,Male,45,0.067,Urban West,5,11,55,3,475
827d10d5-a56d-4a90-b452-ae9bd53d4d3d,1144.53,23,3.091,Ride-Hail,Male,30,0.059,Urban North,1,3,26,1,705
ceabdf1c-6229-4dca-a782-48a0be9a9c23,1285.95,117,3.288,"",Male,21,0.046,Rural West,7,10,8,10,696
3d290621-2d4b-4ce4-870a-d47068ec64ef,1313.74,79,2.046,Graphic Designer,Male,42,0.121,Urban East,4,7,56,6,324
2080a0f5-52f6-4d9d-a5b7-9c08296381fd,1422.53,149,3.892,"",Male,37,0.159,Rural West,0,0,1,9,74
84d5b84f-b418-4d30-b668-372134fa7a90,1996.33,102,4.025,Taxi Driver,Male,30,0.139,Urban West,12,0,27,9,248
7fc1f907-b6d1-4dd3-9bf2-b7b554f2eff9,506.98,79,3.908,Food Delivery,Male,49,0.024,Rural West,6,9,34,6,900
191c3769-9123-4894-9b0f-8103fbd5aea7,506.2,75,3.126,"",Male,31,0.07,Rural West,1,7,50,2,289
3eb52944-fab7-4b03-851d-8a6ca6b4ab18,1765.78,39,3.278,Package Delivery Driver,Bigender,44,0.071,Urban East,9,2,28,8,898
0ad2f5bb-8cbe-49ec-965a-890e3de3930e,1041.51,144,4.401,Delivery Car,Male,26,0.021,Urban East,4,11,6,3,145
da6da0b4-11f7-463f-a1c2-16d40cf6b8fc,761.88,114,3.775,"",Female,50,0.029,Urban East,8,6,23,8,474
0d32fa70-9d53-472b-a65e-ef654834c531,1521.18,30,2.715,Delivery Car,Male,49,0.143,Rural West,7,4,22,8,782
4ca1b4ec-21cf-4c0a-b290-e9a3c8405ffe,1344.21,87,4.596,Package Delivery Driver,Male,25,0.065,Rural North,2,1,57,9,310
c1977437-24f2-4c1c-aa40-e0b4fe5e515e,910.64,112,2.658,Delivery Bike,Male,33,0.07,Rural East,2,3,57,9,277
fcfd5c7c-f762-4022-b496-4017fd24706d,1103.26,74,3.093,Package Delivery Driver,Male,46,0.03,Rural East,11,12,28,0,781
0f442475-19d2-49b5-828e-e825ab6df3e1,1613.69,79,4.267,Delivery Bike,Male,23,0.096,Urban West,10,4,5,5,648
783799a8-6681-4980-9064-d647939ee06f,1192.93,67,2.146,Ride-Hail,Male,33,0.02,Rural West,12,5,11,4,273
65fd6a86-b44d-40be-8a6e-bf09a5d1f646,899.57,111,4.358,Graphic Designer,Male,48,0.13,Urban South,1,2,8,0,138
9a080b9e-06c6-4604-be82-daeadfa0ace0,1771.26,61,2.731,Delivery Bike,Female,42,0.076,Urban East,11,10,29,2,39
dff898a5-1625-4dd9-9f64-7120c4fa9f9c,1190.65,52,2.671,"",Female,39,0.011,Urban South,9,5,18,10,530
4431d9ec-6937-44b2-aaad-3b794ee131c4,946.13,54,3.665,Package Delivery Driver,Male,28,0.064,Rural South,2,1,37,2,475
6e1c0c62-f92a-4012-9c77-113cce4581a5,863.18,144,2.498,Delivery Bike,Female,40,0.116,Urban South,6,8,54,4,815
8e108501-fc15-4778-9bb9-d7c6bd017bbe,845.85,14,3.928,Ride-Hail,Female,34,0.044,Urban West,10,10,49,2,153
6cd190f2-b171-4dc9-b09d-18e2e8665d7a,1995.13,59,3.013,Ride-Hail,Female,29,0.097,Urban West,6,9,26,0,399
9bc4f8d0-ee18-4708-bf57-774b0e9eca01,825.47,53,3.478,Food Delivery,Male,41,0.038,Urban East,8,8,33,3,645
781cf5aa-511a-4b77-9039-1a11c4230323,704.75,64,3.429,Ride-Hail,Male,24,0.114,Urban South,9,6,27,1,619
b333ab84-de3a-429b-b805-9e5946ddf0e8,1322.92,34,2.794,Delivery Bike,Female,32,0.087,Urban North,3,5,49,1,971
866c4f7b-0fb0-49cb-ab66-3bd066b6976e,699.81,11,4.927,Taxi Driver,Bigender,45,0.166,Rural East,7,8,7,4,477
fea0a057-f4fd-4f3d-ad8f-615e9125d6b8,1447.2,57,3.747,Delivery Bike,Male,50,0.089,Rural South,3,12,59,7,199
9aff6d5e-67b6-4258-8d28-7e4efefa9d31,967.13,19,2.979,Graphic Designer,Male,24,0.123,Rural East,3,8,60,10,281
4a0d747c-50b4-4e33-8cb7-6d0282bfa790,1510.68,98,4.603,Graphic Designer,Female,43,0.005,Urban North,5,10,40,0,545
0ca20f60-d654-4412-818c-953e4ed2e57e,1585.2,40,4.174,Taxi Driver,Non-binary,46,0.001,Urban South,3,8,8,1,455
1819dad3-89f4-4d5d-b4c4-89ff268a91d5,873.15,78,4.73,Package Delivery Driver,Genderqueer,38,0.124,Rural North,10,2,28,4,879
7dbe9b86-2487-42a2-b508-d2d79b1abf1a,1433.19,32,2.727,Ride-Hail,Male,38,0.098,Rural South,2,5,53,0,258
77de62ff-0d76-4c31-bbda-cac17ac2fa67,805.85,94,4.689,Delivery Bike,Male,33,0.079,Rural North,1,1,30,6,646
e0bfe10a-7f7c-48f4-b245-f49a3e64b9ad,901.26,31,2.635,"",Male,46,0.103,Urban West,5,2,11,4,299
b376e614-fe04-46d6-9ec5-ef10796b934d,1993.05,122,4.167,Delivery Bike,Male,27,0.174,Rural East,10,4,14,9,131
17d1050a-ff9b-40c7-a366-96a8024a0041,953.76,138,3.843,"",Male,47,0.133,Rural South,4,5,13,6,259
58ee0ffe-1157-48ff-9082-8db4288464b5,1012.9,66,4.135,Graphic Designer,Male,49,0.09,Rural East,7,9,26,2,349
bd8897d9-6d8d-4879-a4d5-bf73a0773993,664.11,108,4.248,Delivery Car,Female,20,0.057,Urban West,4,8,10,4,129
1a40bd76-f1da-4995-ba54-3d3c9d84ee71,1054.6,130,3.936,Delivery Bike,Female,24,0.027,Urban East,9,10,39,5,198
b4ea90f3-0f25-4090-8b39-718bfbddd88d,679.58,55,3.677,Taxi Driver,Female,45,0.036,Rural East,1,1,46,0,823
4dbe9471-ab65-402d-b52d-46701d519031,1762.75,87,3.139,Graphic Designer,Female,24,0.129,Rural West,9,5,15,7,849
2c9421a4-964f-4762-8dd5-b27da55c39d7,967.42,104,4.686,Delivery Bike,Male,45,0.14,Urban West,9,8,15,0,705
7e31062e-ca0c-4dd2-b423-87ae58bedf27,1431.49,106,4.985,Graphic Designer,Non-binary,33,0.006,Urban West,7,7,40,9,101
846c2212-ba5c-4b20-ab37-b106e0f4aa3e,532.33,88,2.423,Delivery Car,Genderfluid,24,0.198,Urban South,1,1,60,0,629
f8e39f70-2a4e-4126-a5f9-b94d147235eb,509.38,75,2.264,Food Delivery,Male,29,0.046,Rural East,11,0,58,7,425
85fccccf-e206-42b8-8388-e36c1a69a4ab,887.78,86,2.14,Taxi Driver,Female,47,0.082,Urban South,3,4,35,6,646
1ec747bf-f10f-46e2-bcb4-10257107f240,1581.59,19,3.278,"",Female,43,0.11,Urban West,8,0,8,5,693
6ec54b42-189e-448f-9b33-09c2e61cdb66,1417.03,93,2.267,Package Delivery Driver,Female,44,0.164,Rural East,9,9,52,4,521
995a87bc-c523-4d51-963f-09fc1da3178a,1844.23,23,4.518,Package Delivery Driver,Male,27,0.158,Urban North,8,2,18,6,802
272e1c14-0395-4b85-9425-3896b6ba53ff,1320.77,135,2.695,"",Non-binary,27,0.068,Urban East,12,12,28,1,247
7121257d-b957-4724-a364-3a1a9c6087a1,826.04,129,2.56,Delivery Car,Male,48,0.108,Rural North,3,9,60,6,50
b856dd24-dc73-4efa-814d-c6778fface3f,1469.93,34,3.532,Delivery Car,Male,31,0.091,Rural East,8,2,40,9,421
1cd6b7a0-3776-4ab3-a0a8-618caf94981b,1431.88,82,3.41,"",Female,48,0.133,Urban North,11,0,25,5,822
90704a27-4cd6-4973-b459-2fe010c53ff2,1991.32,48,4.241,"",Male,45,0.004,Rural West,7,4,8,7,221
f1c5a6c0-df88-403c-8a54-8bb4a2e612d6,704.76,128,4.618,Food Delivery,Male,46,0.198,Urban North,0,2,44,8,231
ebde2a5d-b6d0-413b-9586-3b5caae27331,961.53,29,4.768,Package Delivery Driver,Female,29,0.011,Rural East,2,11,20,6,256
3417d4ce-1256-4555-90cb-45e508d45978,1645.15,89,4.536,Graphic Designer,Female,27,0.102,Rural North,1,4,57,2,672
930b40c2-51e8-4495-8910-7b58cdc4eada,1881.92,104,3.617,Delivery Bike,Female,24,0.156,Rural South,10,6,34,3,591
e9f39e12-5c9c-4d1f-a019-a8af546d0cbc,1008.23,77,3.213,Graphic Designer,Male,50,0.005,Urban West,6,9,46,2,831
97ca1a96-5632-453c-839b-86c6f2daa815,1939.74,23,3.222,Package Delivery Driver,Female,42,0.067,Rural South,5,7,13,1,399
789ffd03-95be-4d8c-8063-cada1c945797,1477.67,96,4.595,Taxi Driver,Male,38,0.167,Rural East,7,2,17,2,996
aed0144c-37a1-4235-9fd1-e0167cb15d19,740.73,59,3.559,Food Delivery,Female,23,0.087,Urban South,5,12,1,5,670
8613a37a-b4f3-4a96-9486-f5e4b70b9387,525.97,119,3.516,"",Polygender,39,0.068,Rural East,9,12,46,10,229
0c20bb8f-40e1-4335-87d0-089b52399260,1914.86,88,4.599,Delivery Bike,Agender,49,0.186,Rural West,7,0,50,0,502
2b08afa4-880f-4d97-984c-c1702753d8b0,852.57,17,2.073,Delivery Car,Female,36,0.048,Urban West,1,4,6,8,833
3e128bb0-1a63-4097-81d2-f806825e777d,1878.52,136,4.153,Ride-Hail,Male,50,0.006,Urban West,2,11,34,6,823
d526ad67-2123-4ddb-950e-c351afc17fe1,1457.96,61,3.691,Food Delivery,Female,48,0.178,Urban East,4,7,9,9,270
7bce7630-42f8-44a3-8f9a-5bae4020059d,1179.14,39,3.693,Delivery Bike,Male,24,0.183,Urban West,2,0,23,7,529
6ec42a34-8712-4e48-b52c-2a0eb3d17c14,533.04,119,2.04,Food Delivery,Female,40,0.172,Urban West,2,3,42,6,639
e4093c22-4e77-45c3-8767-60c6387812c1,1954.48,19,3.684,Food Delivery,Female,45,0.031,Urban East,1,11,25,5,495
7ebafb26-ba54-4fe6-af5e-228706cf536f,1307.32,10,4.014,Graphic Designer,Female,44,0.025,Urban East,4,3,3,2,308
7d05052b-c4d5-4615-8896-c127d9d825c8,650.09,128,4.827,Taxi Driver,Male,46,0.126,Rural North,10,5,23,1,364
9e5bac59-7a2f-43c8-addd-e3a99c9f9206,752.85,113,2.453,Package Delivery Driver,Female,26,0.008,Rural North,1,2,7,10,701
3b5646d7-690f-4b0c-9a36-0eac3d360715,1120.69,11,2.54,Package Delivery Driver,Male,29,0.001,Urban South,4,3,51,7,966
48ba79dc-0d54-4c42-8ec3-7e5c941fac15,1126.02,91,4.637,Taxi Driver,Female,23,0.047,Urban East,1,10,47,9,113
e6e28de5-f9fb-4afc-9a1c-6ade6faacdf2,954.63,72,4.589,"",Male,41,0.099,Rural East,0,2,28,8,967
7fe5fb47-1f1c-4e07-bf57-7bebffa736cc,1719.14,87,2.015,Graphic Designer,Female,40,0.076,Rural West,11,11,57,10,945
61457e11-a9a5-4c69-a6ad-93c5e46d196e,1281.63,67,2.051,Package Delivery Driver,Male,40,0.039,Rural East,9,3,11,1,945
090140eb-97cf-4560-b475-2e80a5697902,765.81,55,4.629,"",Genderqueer,33,0.159,Rural East,12,10,14,7,596
de5259a3-c85d-4aba-b28a-6acb94f6bc2d,1418.52,127,2.464,Package Delivery Driver,Agender,20,0.155,Urban West,0,11,33,3,970
a80a6fc9-a518-4074-99f5-774ad71d9ac7,1942.87,35,3.57,Food Delivery,Male,28,0.025,Rural South,1,7,30,10,830
031a9e68-dcc3-4931-85e1-cc0bee0b38e8,1751.81,55,2.569,Package Delivery Driver,Female,45,0.152,Rural South,0,4,11,5,147
0f3dae3a-7d6f-4ea3-b890-98d406705daa,1750.2,121,3.64,Taxi Driver,Male,21,0.084,Rural North,11,12,8,9,467
92c79795-3025-4f89-a344-d1e7e6110600,1054.09,99,2.309,Delivery Car,Male,22,0.071,Rural North,8,6,40,2,312
8f73704a-5460-40c3-bfd6-f9affc3769f5,1388.83,84,3.018,Food Delivery,Female,49,0.13,Rural East,6,8,56,5,99
db92ca4e-e97b-46c7-931d-d475f70955d4,825.14,140,4.442,Graphic Designer,Male,29,0.154,Urban West,0,5,37,2,211
e73265cc-4437-4ce0-896d-00d313c53990,849.82,40,4.88,Food Delivery,Female,32,0.014,Rural East,0,10,36,10,454
2b2a1412-13a3-4069-b7f3-1b91bbdfdbc4,1183.87,78,2.378,"",Male,24,0.192,Rural East,6,12,12,10,428
f4591606-15b9-4ce4-8522-b93646425e6c,1531.65,44,3.396,Package Delivery Driver,Male,36,0.063,Urban East,3,4,4,1,322
f73758ed-5b78-412e-a13f-3cdbc420a996,1636.78,91,2.539,Taxi Driver,Male,28,0.148,Rural North,6,7,55,3,810
9f34f856-11a1-4cc1-bc0d-72b5aa03909c,1671.52,111,2.338,Taxi Driver,Male,49,0.066,Urban North,5,6,25,10,549
3389ea74-0e01-46ef-a178-fcfa1d18c228,739.16,24,2.752,Taxi Driver,Female,46,0.044,Rural North,5,10,28,5,995
5fdcaeab-73e6-477f-9855-4af6067a5921,1413.82,58,4.898,Food Delivery,Female,38,0.05,Rural East,11,11,31,9,198
ec9614f0-053c-459e-97a2-103c1fa442b1,1323.41,130,3.166,Graphic Designer,Female,38,0.063,Rural South,11,2,54,7,19
347e50ed-e98b-4253-85de-63056de4c122,651.12,14,4.332,Delivery Bike,Female,22,0.139,Rural East,7,5,14,0,631
2f2dbae9-de19-4794-92fa-3b957d22fc32,669.74,127,3.81,Delivery Car,Female,39,0.163,Urban South,0,5,57,0,765
946788c1-aac1-40bd-9718-c0dc790a5192,585.42,58,2.158,Delivery Bike,Female,22,0.116,Rural East,9,1,8,5,662
8623d210-d2b1-4c35-b2da-d342edbfcd76,968.89,48,2.963,Package Delivery Driver,Female,44,0.047,Rural West,11,2,0,9,948
4bf0179b-78e8-4022-beba-f2e96930667f,828.44,130,3.349,Package Delivery Driver,Female,36,0.172,Urban East,11,0,35,6,884
919bf4bd-975c-4a9b-9be4-f0d7ee851fe3,1333.48,113,4.687,Delivery Bike,Polygender,47,0.031,Rural East,9,2,59,9,650
ff086a1d-2239-4d75-bec7-cbbf3f726e4e,1167.51,110,2.055,Ride-Hail,Female,48,0.032,Rural East,7,0,57,3,624
50855d3d-f4e9-47ff-a37d-97621c27648f,517.2,93,4.795,Delivery Bike,Female,31,0.116,Urban West,9,1,55,2,947
058f50a9-6cc9-444d-bac0-4e9ddbf28fe9,1154.39,120,2.525,Graphic Designer,Female,22,0.137,Rural North,7,6,37,2,563
89c6b57c-305d-42f0-91da-f8d00633c41d,1493.64,87,2.287,Ride-Hail,Male,28,0.082,Rural West,7,6,38,9,320
e22bf293-84ce-4e69-a35b-007a983d345c,1178.99,18,4.293,Delivery Car,Female,43,0.153,Urban North,11,10,20,1,533
7c22145a-8a81-45dd-aafd-1f50ea11dffd,710.13,12,3.927,Delivery Car,Female,39,0.058,Rural North,6,7,53,2,664
a141ce9c-1b01-4ebd-847d-76ff8f3055ea,1604.63,105,3.898,Delivery Car,Female,23,0.016,Urban South,1,12,42,4,701
e4fa2799-e541-4351-b611-8ff44b885e2d,1659.9,132,4.263,Food Delivery,Male,24,0.124,Rural East,10,2,58,8,596
fef353c6-7d44-4c49-b046-9f031c274f4a,1341.27,58,3.741,Package Delivery Driver,Polygender,37,0.185,Rural North,5,5,25,7,894
57f1dce1-8460-4789-8340-cc47910afab9,1530.42,14,3.775,Package Delivery Driver,Male,23,0.129,Urban West,1,11,42,0,389
cc437906-b401-4d1f-9781-673bbb8c96f8,1852.26,22,3.142,Taxi Driver,Female,20,0.146,Rural South,6,10,1,9,666
850214ba-fe8a-434c-878b-4e948adeafcd,1911.38,138,2.169,"",Bigender,48,0.107,Rural South,2,8,32,4,783
975e4fad-de92-4e92-b92f-88f3fcd3d571,854.84,83,3.186,Delivery Car,Male,48,0.135,Urban East,2,3,20,7,348
e61d1c53-1ca2-498b-a1b5-9b2660791a3b,1914.79,119,4.981,Package Delivery Driver,Female,48,0.072,Urban North,1,11,28,5,660
b38095cb-910f-4b24-b451-aa88ca8342c2,1762.02,108,2.094,Delivery Car,Female,44,0.015,Rural East,6,7,35,3,204
7c3f7be2-f106-447b-90aa-17a46e257eab,585.13,22,2.212,Taxi Driver,Male,34,0.05,Urban South,9,9,37,9,576
131b71b1-5c81-4fc5-a995-f37d1637fac8,1811.57,93,2.935,Ride-Hail,Male,49,0.056,Rural West,11,9,22,9,441
b9d82dc6-26f4-4cb9-8c34-08ef07ce20aa,1365.12,70,2.254,Delivery Car,Female,29,0.032,Rural North,6,10,53,5,210
71c5fcf6-5216-425b-be4c-132397d28495,1792.4,137,4.117,"",Male,49,0.164,Rural West,10,9,29,6,345
c684bc97-2912-4bb6-9a00-c4949bd49299,1210.82,65,2.577,Delivery Bike,Genderfluid,46,0.061,Rural West,10,4,59,3,669
90cbf585-316e-47c8-80b6-2cde5302cd05,759.87,88,4.828,Graphic Designer,Female,47,0.061,Urban East,11,5,45,8,352
952d6b78-abd0-4595-a4e0-334a2133adf1,1918.92,129,3.059,Ride-Hail,Male,37,0.002,Urban South,6,0,60,8,243
02c70c76-a088-4541-a52f-f2a8876270f9,1453.53,129,3.344,Package Delivery Driver,Female,40,0.089,Urban West,12,9,6,0,523
